gcc_code16,date,precip,tmax,tmin,vapourpres_h09,vapourpres_h15
5GPER,2013-12-09,1.30217706357254e-08,26.9343517977417,13.8405035235212,11.6645759702031,12.4192863664233
5GPER,2013-12-10,0,30.4393948919583,15.0146354607468,11.9541082552974,12.1910531847424
5GPER,2013-12-11,8.51533303441291e-08,31.561158031186,17.2710292009261,11.3542657824382,14.8917297500138
5GPER,2013-12-12,0,34.1447308526218,18.9615571276822,11.5464808426318,11.7110302294417
5GPER,2013-12-13,0,36.1662911526663,20.4221210132786,12.9644008784406,12.2896473336758
5GPER,2013-12-14,0,36.3262122731275,18.9989206820082,13.3845080018324,12.8132326112963
5GPER,2013-12-15,0,35.7093435083054,19.0323583524124,18.4841854331175,14.4344467875279
5GPER,2013-12-16,0,35.5524613538942,21.9049246146022,12.0459759525599,12.2052286547729
5GPER,2013-12-17,0,27.6555933800063,18.8399592203031,20.369844573517,19.9470498548354
5GPER,2013-12-18,3.90653132660627e-08,26.7185729696491,19.0496317807043,17.0739211055732,17.4036241223081
5GPER,2013-12-19,0,28.1507769384685,17.5402479300734,14.0736923961354,14.8747405661657
5GPER,2013-12-20,0.00398016027487261,27.3299726002321,15.7911763261904,12.1887348890598,10.6641584946409
5GPER,2013-12-21,0,27.1327894066196,13.9847193016877,10.825360833502,10.8346969910913
5GPER,2013-12-22,0,28.365276040904,15.1619736758929,11.7112336716748,12.1889254198656
5GPER,2013-12-23,0,31.1519758473098,13.9396995466521,12.4346964032924,12.0663427521334
5GPER,2013-12-24,0,27.8971531956178,15.4800629948789,16.1513648170112,17.9716441993721
5GPER,2013-12-25,0,28.8877987963697,15.6186517630505,14.9485195454165,15.7617958736395
5GPER,2013-12-26,0.000467302102154576,26.9379218762061,15.0714318426027,16.6576705023775,15.030426363716
5GPER,2013-12-27,7.97928163422619e-05,27.0090436883875,17.8202608534758,19.0830969657108,18.9857772519029
5GPER,2013-12-28,2.93424105811262e-06,31.0447162882094,16.0926031099359,12.9247309263045,14.2311792470672
5GPER,2013-12-29,0,32.2109999704139,16.6141846227633,15.4136176487162,16.5694409489532
5GPER,2013-12-30,0,30.5411373590469,17.9379527987491,16.3768219707511,18.0929143794455
5GPER,2013-12-31,0,24.7193011118495,18.0726410686229,18.3645481284218,15.2008549242116
5GPER,2014-01-01,3.01543659343496e-05,25.4097917718977,15.2161101892507,15.5073595988959,12.2495946897786
5GPER,2014-01-02,0,25.3002836777248,13.1194673594733,13.9564306886909,14.9355052573875
5GPER,2014-01-03,0.000469269457987362,26.3222379646971,13.3855403981121,11.0221306271006,12.7452657200734
5GPER,2014-01-04,7.05839924930206e-07,26.5507039272858,14.2286727266843,12.004658737497,12.9533093848152
5GPER,2014-01-05,0,31.2505129212507,15.0659311114751,12.9781576612073,13.1639930383083
5GPER,2014-01-06,0,37.3162895946939,17.9580631818545,13.9802844650639,15.7702305067325
5GPER,2014-01-07,0,26.4482016454826,18.7716064504056,20.8388946481222,17.8779506882609
5GPER,2014-01-08,0,28.0583100916173,16.7662994452782,16.8702715254718,17.9950776608882
5GPER,2014-01-09,1.94875641243572e-06,29.3434749722013,16.3943502777273,16.5753737624716,18.5440907245094
5GPER,2014-01-10,0,34.0533018142663,17.9080948743132,16.7862252414202,18.0238618558521
5GPER,2014-01-11,0,41.9604461758909,21.4735025092387,15.3351463323627,14.2196046847771
5GPER,2014-01-12,0,39.1846588579781,27.2362035372892,12.7278705577626,17.3551660081439
5GPER,2014-01-13,8.51533303441291e-08,27.3566520573717,20.0868505011075,19.2312379376546,16.9590931941305
5GPER,2014-01-14,0,26.5033048424564,14.8928785256586,13.1140984309167,14.2481636851983
5GPER,2014-01-15,0,25.7512505457108,15.6724242629535,15.0820025760398,14.8484472725639
5GPER,2014-01-16,0.164479724305319,24.8251683532351,17.4625280375985,13.8465383856835,13.6025268340654
5GPER,2014-01-17,5.08863195213359e-05,31.2339638767896,15.0414846407261,13.8400714794554,14.976177226518
5GPER,2014-01-18,0,36.4501776172647,17.2125416885227,14.7966415041935,13.7185996325053
5GPER,2014-01-19,0,37.6275361247633,21.2130780238603,15.9895085904844,13.9772424611141
5GPER,2014-01-20,5.96985356189379e-06,37.1774181339844,20.392286446029,15.475075757475,15.2642546317263
5GPER,2014-01-21,0,37.162367755168,19.6820721568771,15.9753877904524,17.5266789426831
5GPER,2014-01-22,1.70423941092693e-05,36.0820317065633,23.4218772290277,19.9473225251548,19.2593482143192
5GPER,2014-01-23,1.29623111969969e-08,35.5048834768802,22.4146349952833,20.0668308533487,19.503288792178
5GPER,2014-01-24,0,32.3714960124998,23.0987435946722,18.1078396073413,17.2938159174101
5GPER,2014-01-25,0,35.5615270071937,24.239499347337,20.8979607659632,22.0480419768785
5GPER,2014-01-26,0.00286294916679709,30.4512881107754,22.5439769310113,21.8150828987155,20.4353852426393
5GPER,2014-01-27,0,25.8017070556451,18.2337651677227,18.5404307976322,14.6914502215482
5GPER,2014-01-28,0,30.1438150227262,15.4416032704457,11.7158178843318,11.0860764056747
5GPER,2014-01-29,0,32.8985586457514,16.6494902048637,13.0726791610761,16.3165602025782
5GPER,2014-01-30,0.00636694598954578,33.9126123346452,19.4061456652173,15.8886074580768,18.5823479001168
5GPER,2014-01-31,0.00475990928607196,29.4841198811407,20.9140948471532,21.647814295372,20.0743144424806
5GPER,2014-02-01,0.00137588835025141,28.7383245640167,18.0443491549188,17.3054751636277,17.8963463250925
